Nursery	Species	Isolate	Trial	Rep	Mef EC50	Phos Acid EC50
B	plurivora	B-13	2	5	55.1443217	106.7161763
B	plurivora	B-13	2	6	106.616848	133.4158549
C	plurivora	C-1_1	1	1	11.84909635	*
C	plurivora	C-1_1	1	2	6.740408131	*
C	plurivora	C-1_1	1	3	10.59295627	*
C	plurivora	C-1_1	2	4	23.9740136	*
C	plurivora	C-1_1	2	5	16.21144318	*
C	plurivora	C-1_1	2	6	18.57631245	*
C	plurivora	C-2_1	1	1	65.38711193	52.83944492
C	plurivora	C-2_1	1	2	78.76915473	69.24431785
C	plurivora	C-2_1	1	3	82.16955502	65.07811329
C	plurivora	C-2_1	2	4	47.57876119	77.46919472
C	plurivora	C-2_1	2	5	42.04955702	50.27705799
C	plurivora	C-2_1	2	6	36.14473906	66.07337339
C	plurivora	C-4	1	1	11.70921217	5.152320533
C	plurivora	C-4	1	2	1.250358804	0.887651282
C	plurivora	C-4	1	3	0.78602331	11.81444477
C	plurivora	C-4	2	4	1.000436163	510.0333291
C	plurivora	C-4	2	5	28.99636832	341.3883866
C	plurivora	C-4	2	6	156.9212454	12.98822476
C	plurivora	C-14_1	1	1	2.480265833	65.4905205
C	plurivora	C-14_1	1	2	1.547867655	75.53914236
C	plurivora	C-14_1	1	3	1.641193123	50.68789707
C	plurivora	C-14_1	2	4	11.06023588	68.17477823
C	plurivora	C-14_1	2	5	11.86429598	102.6046476
C	plurivora	C-14_1	2	6	17.68763943	80.20153809
